Jnr Sm ID,Lead ID,Lead Stage,Call Done Date,Call Status,Call Reason
JNR1001MG,USR1001,lead,"Jan 2, 2022",successful,lead_introduction
JNR1001MG,USR1001,lead,"Jan 2, 2022",successful,demo_schedule
JNR1001MG,USR1002,lead,"Jan 3, 2022",successful,lead_introduction
JNR1001MG,USR1002,lead,"Jan 4, 2022",successful,demo_schedule
JNR1001MG,USR1002,awareness,"Jan 5, 2022",successful,post_demo_followup
JNR1001MG,USR1002,awareness,"Jan 6, 2022",successful,followup_for_consideration
JNR1001MG,USR1002,consideration,"Jan 7, 2022",successful,interested_for_conversion
JNR1001MG,USR1002,consideration,"Jan 7, 2022",successful,followup_for_conversion
JNR1001MG,USR1002,consideration,"Jan 7, 2022",successful,followup_for_conversion
JNR1001MG,USR1002,conversion,"Jan 7, 2022",successful,successful_conversion
JNR1001MG,USR1003,lead,"Jan 4, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1003,lead,"Jan 5, 2022",successful,lead_introduction
JNR1001MG,USR1003,lead,"Jan 7, 2022",successful,demo_schedule
JNR1001MG,USR1003,awareness,"Jan 8, 2022",successful,post_demo_followup
JNR1001MG,USR1003,awareness,"Jan 9, 2022",successful,followup_for_consideration
JNR1001MG,USR1004,lead,"Jan 1, 2022",successful,lead_introduction
JNR1001MG,USR1004,lead,"Jan 2, 2022",successful,demo_schedule
JNR1001MG,USR1004,awareness,"Jan 3, 2022",successful,post_demo_followup
JNR1001MG,USR1005,lead,"Jan 1, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1005,lead,"Jan 2, 2022",successful,lead_introduction
JNR1001MG,USR1005,lead,"Jan 3, 2022",successful,demo_schedule
JNR1001MG,USR1005,awareness,"Jan 4, 2022",successful,post_demo_followup
JNR1001MG,USR1006,lead,"Jan 10, 2022",successful,lead_introduction
JNR1001MG,USR1006,lead,"Jan 12, 2022",successful,demo_schedule
JNR1001MG,USR1006,lead,"Jan 13, 2022",successful,demo_not_attended
JNR1001MG,USR1006,awareness,"Jan 13, 2022",successful,post_demo_followup
JNR1001MG,USR1007,lead,"Jan 11, 2022",successful,lead_introduction
JNR1001MG,USR1007,lead,"Jan 11, 2022",successful,demo_schedule
JNR1001MG,USR1007,awareness,"Jan 12, 2022",successful,post_demo_followup
JNR1001MG,USR1007,awareness,"Jan 13, 2022",successful,followup_for_consideration
JNR1001MG,USR1007,consideration,"Jan 14, 2022",successful,interested_for_conversion
JNR1001MG,USR1007,consideration,"Jan 14, 2022",successful,followup_for_conversion
JNR1001MG,USR1007,consideration,"Jan 14, 2022",successful,followup_for_conversion
JNR1001MG,USR1007,conversion,"Jan 14, 2022",successful,successful_conversion
JNR1001MG,USR1008,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1008,lead,"Jan 8, 2022",successful,lead_introduction
JNR1001MG,USR1008,lead,"Jan 8, 2022",successful,demo_schedule
JNR1001MG,USR1008,awareness,"Jan 8, 2022",successful,post_demo_followup
